"velocity","Alstom 1MW","Alstom Beluga 9","Andritz Hydro Hammerfest HS1500","Atlantis AR1000","Atlantis AR1500","Atlantis AR2000","MCT SeaGen 600kW","MCT SeaGen-S 2MW","Nova Innovation M100","ORPC TidGen","Orbital Marine Power Orbital O2","Orbital Marine Power SR2000","Sabella D10","Sabella D15","Tidal Energy Pty Ltd DHV","Verdant Gen4","Verdant Gen5","Voith 1 MW test","TTL 1 MW 3 ms Limit","TTL 1 MW 5 ms Limit"
6.45,0,11.2809751209951,0,11.2809751209951,16.9214626814926,22.5619502419902,6.76858507259705,22.5619502419902,1.12809751209951,1.57933651693931,0,22.5619502419902,11.2809751209951,28.2024378024877,1.91776577056916,0.631734606775725,3.06842523291066,11.2809751209951,0,11.2809751209951
6.46,0,10.8760695208872,0,10.8760695208872,16.3141042813309,21.7521390417745,6.52564171253235,21.7521390417745,1.08760695208872,1.52264973292421,0,21.7521390417745,10.8760695208872,27.1901738022181,1.84893181855083,0.609059893169686,2.95829090968133,10.8760695208872,0,10.8760695208872
6.47,0,10.4823490851171,0,10.4823490851171,15.7235236276757,20.9646981702342,6.28940945107026,20.9646981702342,1.04823490851171,1.46752887191639,0,20.9646981702342,10.4823490851171,26.2058727127928,1.78199934446991,0.587011548766558,2.85119895115185,10.4823490851171,0,10.4823490851171
6.48,0,10.0994943380414,0,10.0994943380414,15.1492415070621,20.1989886760827,6.05969660282483,20.1989886760827,1.00994943380414,1.41392920732579,0,20.1989886760827,10.0994943380414,25.2487358451034,1.71691403746703,0.565571682930317,2.74706245994725,10.0994943380414,0,10.0994943380414
6.49,0,9.79340137123755,0,9.79340137123755,14.6901020568563,19.5868027424751,5.87604082274253,19.5868027424751,0.979340137123756,1.37107619197326,0,19.5868027424751,9.79340137123755,24.4835034280939,1.66487823311038,0.548430476789303,2.66380517297661,9.79340137123755,0,9.79340137123755
6.5,0,9.43222530296492,0,9.43222530296492,14.1483379544474,18.8644506059298,5.65933518177895,18.8644506059298,0.943222530296492,1.32051154241509,0,18.8644506059298,9.43222530296492,23.5805632574123,1.60347830150404,0.528204616966036,2.56556528240646,9.43222530296492,0,9.43222530296492
6.51,0,9.08100946343908,0,9.08100946343908,13.6215141951586,18.1620189268782,5.44860567806345,18.1620189268782,0.908100946343908,1.27134132488147,0,18.1620189268782,9.08100946343908,22.7025236585977,1.54377160878464,0.508536529952588,2.47003457405543,9.08100946343908,0,9.08100946343908
6.52,0,8.80520065266539,0,8.80520065266539,13.2078009789981,17.6104013053308,5.28312039159923,17.6104013053308,0.880520065266539,1.23272809137315,0,17.6104013053308,8.80520065266539,22.0130016316635,1.49688411095312,0.493091236549262,2.39501457752499,8.80520065266539,0,8.80520065266539
6.53,0,8.47390753879762,0,8.47390753879762,12.7108613081964,16.9478150775952,5.08434452327857,16.9478150775952,0.847390753879762,1.18634705543167,0,16.9478150775952,8.47390753879762,21.1847688469941,1.4405642815956,0.474538822172667,2.30490285055295,8.47390753879762,0,8.47390753879762
6.54,0,8.15173643750802,0,8.15173643750802,12.227604656262,16.303472875016,4.89104186250481,16.303472875016,0.815173643750802,1.14124310125112,0,16.303472875016,8.15173643750802,20.37934109377,1.38579519437636,0.456497240500449,2.21727231100218,8.15173643750802,0,8.15173643750802
